episode,total_reward,avg_latency,deadline_violation_rate,local_actions,edge_actions,cloud_actions,epsilon
1,121.4392,56.88,0.0,30,33,37,0.995
2,107.385,63.24,0.0,33,36,31,0.99
3,76.0585,113.33,0.01,33,37,30,0.9851
4,52.3781,171.68,0.09,37,27,36,0.9801
5,108.0739,96.42,0.0,33,36,31,0.9752
6,126.6199,56.25,0.0,34,31,35,0.9704
7,89.3371,109.48,0.01,32,36,32,0.9655
8,117.9056,57.06,0.0,32,31,37,0.9607
9,117.6619,65.51,0.0,31,25,44,0.9559
10,107.6785,81.04,0.02,31,41,28,0.9511
11,83.812,108.95,0.0,34,38,28,0.9464
12,80.1652,128.05,0.04,22,35,43,0.9416
13,99.1451,95.72,0.02,30,37,33,0.9369
14,123.1416,57.56,0.0,30,33,37,0.9322
15,71.2052,157.14,0.01,27,26,47,0.9276
16,97.8428,95.54,0.02,34,32,34,0.9229
17,121.0603,56.1,0.0,38,26,36,0.9183
18,99.4723,73.47,0.0,34,29,37,0.9137
19,125.215,51.8,0.0,35,32,33,0.9092
20,122.3198,61.04,0.0,31,31,38,0.9046
