user_id,latitude,longitude,edge_node_id,request_rate,avg_data_size_kb,avg_compute_cost
user_0000,-37.814619,144.974443,304744,1.351,11.28,0.265
user_0001,-37.81014,144.970454,302854,0.602,189.85,0.506
user_0002,-37.819892,144.957305,134872,1.806,26.82,0.353
user_0003,-37.814524,144.953632,135143,0.254,59.88,0.403
user_0004,-37.8141,144.963,303712,0.248,54.91,0.49
user_0005,-37.81166,144.965909,301361,1.181,60.33,0.454
user_0006,-37.813785,144.959214,130005,1.657,6.63,0.583
user_0007,-37.812084,144.957674,101373,1.457,90.4,0.193
user_0008,-37.814908,144.970277,44125,1.923,89.49,0.156
user_0009,-37.815249,144.973142,305394,0.374,217.72,0.462
user_0010,-37.81049,144.969832,9009843,1.653,188.16,0.422
user_0011,-37.815119,144.967232,301386,1.952,100.01,0.431
user_0012,-37.819376,144.960727,301658,1.693,160.25,0.617
user_0013,-37.81494,144.957106,11593,1.239,181.85,0.127
user_0014,-37.814904,144.959468,9014611,0.61,77.64,0.148
user_0015,-37.812342,144.957473,302516,0.619,30.35,0.267
user_0016,-37.812551,144.969121,301240,1.344,96.57,0.322
user_0017,-37.812978,144.965004,51718,0.577,72.01,0.662
user_0018,-37.815636,144.968919,303676,1.366,157.89,0.203
user_0019,-37.814217,144.968686,301388,1.512,46.01,0.328
user_0020,-37.811498,144.957851,101373,1.981,165.64,0.434
user_0021,-37.817553,144.963679,44101,1.432,216.56,0.566
user_0022,-37.813824,144.955642,135143,0.612,13.06,0.289
user_0023,-37.817499,144.957334,11579,0.682,57.96,0.666
user_0024,-37.814414,144.964203,304434,1.777,83.98,0.493
user_0025,-37.816685,144.960553,206082,0.912,234.55,0.375
user_0026,-37.809765,144.966551,134754,0.677,66.9,0.437
user_0027,-37.818202,144.962823,134554,0.673,151.73,0.639
user_0028,-37.817758,144.959058,303710,0.919,60.05,0.699
user_0029,-37.815434,144.970349,135237,1.117,27.82,0.128
user_0030,-37.814437,144.964244,304434,0.397,162.49,0.575
user_0031,-37.81245,144.960225,134680,0.96,20.95,0.329
user_0032,-37.815088,144.956592,11593,1.993,137.81,0.683
user_0033,-37.816482,144.956804,135306,1.749,7.88,0.532
user_0034,-37.816569,144.962635,11571,1.427,139.78,0.26
user_0035,-37.818182,144.955435,301205,1.354,33.0,0.361
user_0036,-37.810934,144.971181,135213,1.017,244.41,0.626
user_0037,-37.809814,144.97104,302854,0.674,130.65,0.207
user_0038,-37.811771,144.968788,130439,1.843,223.5,0.279
user_0039,-37.81314,144.97219,50686,1.35,157.85,0.192
user_0040,-37.818454,144.955602,301205,1.573,140.38,0.567
user_0041,-37.817603,144.96534,134403,1.155,5.14,0.294
user_0042,-37.813023,144.957438,302516,0.235,238.2,0.627
user_0043,-37.811961,144.957934,101373,1.697,82.19,0.135
user_0044,-37.816313,144.954874,9001289,1.78,242.68,0.151
user_0045,-37.81062,144.966153,134754,1.075,22.37,0.556
user_0046,-37.8189,144.956573,134547,1.579,37.23,0.385
user_0047,-37.816205,144.956296,11591,1.19,71.53,0.623
user_0048,-37.817376,144.95821,134449,0.962,58.16,0.424
user_0049,-37.81247,144.965175,135253,1.514,55.49,0.287
user_0050,-37.815304,144.973835,304744,1.991,168.12,0.363
user_0051,-37.81559,144.957887,304370,1.132,35.37,0.235
user_0052,-37.815153,144.954356,404118,0.809,152.67,0.238
user_0053,-37.811981,144.961012,9013096,0.596,22.82,0.479
user_0054,-37.815838,144.956792,11593,0.612,232.26,0.616
user_0055,-37.818228,144.96205,11600,0.328,64.74,0.501
user_0056,-37.809754,144.965309,301896,0.586,38.21,0.661
user_0057,-37.816015,144.962187,11571,1.228,123.64,0.571
user_0058,-37.818247,144.957883,134245,1.653,52.79,0.158
user_0059,-37.811691,144.972941,304368,0.976,111.32,0.38
user_0060,-37.810308,144.963452,50151,1.512,174.01,0.69
user_0061,-37.815016,144.961033,134822,0.377,106.06,0.304
user_0062,-37.815983,144.970376,135237,1.751,67.41,0.214
user_0063,-37.810053,144.97246,302923,1.008,110.89,0.267
user_0064,-37.816624,144.961993,303652,0.65,236.74,0.366
user_0065,-37.815507,144.958867,304562,1.75,143.13,0.13
user_0066,-37.808326,144.971057,304060,1.999,214.84,0.681
user_0067,-37.815293,144.958198,9014611,1.867,218.02,0.2
user_0068,-37.815402,144.968621,303676,1.074,58.65,0.341
user_0069,-37.820423,144.955592,304363,0.306,100.12,0.691
