timestamp,device_id,task_type,priority,data_size_kb,compute_cost,deadline_ms,edge_cpu_load,network_delay_ms
2026-05-22T15:23:50.037718Z,device_1,temperature_report,medium,3072.0,0.45,1500,0.61,20.0
2026-05-22T15:23:52.037718Z,device_2,image_detection,medium,8192.0,0.45,1500,0.85,35.0
2026-05-22T15:23:54.037718Z,device_3,image_detection,high,10240.0,0.75,500,0.25,26.0
2026-05-22T15:23:56.037718Z,device_4,image_detection,low,6144.0,0.15,5000,0.28,45.0
2026-05-22T15:23:58.037718Z,device_5,image_detection,low,10240.0,0.15,5000,0.82,20.0
2026-05-22T15:24:00.037718Z,device_6,image_detection,low,3072.0,0.15,5000,0.06,29.0
2026-05-22T15:24:02.037718Z,device_7,image_detection,high,7168.0,0.75,500,0.71,11.0
2026-05-22T15:24:04.037718Z,device_8,temperature_report,medium,7168.0,0.45,1500,0.13,15.0
2026-05-22T15:24:06.037718Z,device_9,image_detection,high,9216.0,0.75,500,0.53,47.0
2026-05-22T15:24:08.037718Z,device_10,image_detection,medium,4096.0,0.45,1500,1.0,11.0
2026-05-22T15:24:10.037718Z,device_11,image_detection,low,1024.0,0.15,5000,0.44,45.0
2026-05-22T15:24:12.037718Z,device_12,temperature_report,medium,8192.0,0.45,1500,0.51,8.0
2026-05-22T15:24:14.037718Z,device_13,image_detection,high,4096.0,0.75,500,0.59,20.0
2026-05-22T15:24:16.037718Z,device_14,image_detection,high,10240.0,0.75,500,0.18,49.0
2026-05-22T15:24:18.037718Z,device_15,image_detection,medium,10240.0,0.45,1500,1.0,40.0
2026-05-22T15:24:20.037718Z,device_16,image_detection,low,9216.0,0.15,5000,0.92,34.0
2026-05-22T15:24:22.037718Z,device_17,image_detection,medium,8192.0,0.45,1500,0.71,23.0
2026-05-22T15:24:24.037718Z,device_18,image_detection,low,4096.0,0.15,5000,0.13,27.0
2026-05-22T15:24:26.037718Z,device_19,image_detection,medium,3072.0,0.45,1500,0.4,49.0
2026-05-22T15:24:28.037718Z,device_20,image_detection,low,8192.0,0.15,5000,0.08,16.0
2026-05-22T15:24:30.037718Z,device_21,image_detection,high,8192.0,0.75,500,0.51,34.0
2026-05-22T15:24:32.037718Z,device_22,image_detection,high,10240.0,0.75,500,0.27,48.0
2026-05-22T15:24:34.037718Z,device_23,temperature_report,low,8192.0,0.15,5000,0.01,43.0
2026-05-22T15:24:36.037718Z,device_24,image_detection,medium,3072.0,0.45,1500,0.98,26.0
2026-05-22T15:24:38.037718Z,device_25,image_detection,high,8192.0,0.75,500,0.36,6.0
2026-05-22T15:24:40.037718Z,device_26,temperature_report,high,1024.0,0.75,500,0.75,29.0
2026-05-22T15:24:42.037718Z,device_27,temperature_report,medium,10240.0,0.45,1500,0.55,13.0
2026-05-22T15:24:44.037718Z,device_28,image_detection,medium,10240.0,0.45,1500,0.19,36.0
2026-05-22T15:24:46.037718Z,device_29,temperature_report,high,8192.0,0.75,500,0.59,36.0
2026-05-22T15:24:48.037718Z,device_30,image_detection,medium,8192.0,0.45,1500,0.52,15.0
2026-05-22T15:24:50.037718Z,device_31,image_detection,medium,1024.0,0.45,1500,0.47,7.0
2026-05-22T15:24:52.037718Z,device_32,temperature_report,low,4096.0,0.15,5000,0.29,14.0
2026-05-22T15:24:54.037718Z,device_33,image_detection,high,6144.0,0.75,500,0.24,43.0
2026-05-22T15:24:56.037718Z,device_34,image_detection,medium,1024.0,0.45,1500,0.21,17.0
2026-05-22T15:24:58.037718Z,device_35,image_detection,low,9216.0,0.15,5000,0.1,38.0
2026-05-22T15:25:00.037718Z,device_36,image_detection,medium,5120.0,0.45,1500,0.74,42.0
2026-05-22T15:25:02.037718Z,device_37,temperature_report,medium,8192.0,0.45,1500,0.45,24.0
2026-05-22T15:25:04.037718Z,device_38,image_detection,low,2048.0,0.15,5000,0.99,25.0
2026-05-22T15:25:06.037718Z,device_39,image_detection,medium,4096.0,0.45,1500,0.03,34.0
2026-05-22T15:25:08.037718Z,device_40,temperature_report,medium,2048.0,0.45,1500,0.76,25.0
